period,k,kq,vol,vol_dc,p_itm_p,p_exp,p_max,c_itm_p,c_exp,c_max,scale_t2,scalep_t2,scalen_t2,lmean_t2
60,0.9821,0.39,0.0221,8,0.39,0.0369,0.0711,0.61,0.0756,0.1244,0.1366,0.1308,0.143,0.0102
60,0.9894,0.41,0.0221,8,0.41,0.0398,0.0768,0.59,0.0713,0.1172,0.1366,0.1308,0.143,0.0102
60,0.9961,0.43,0.0221,8,0.43,0.0426,0.0825,0.57,0.0675,0.1106,0.1366,0.1308,0.143,0.0102
60,1.0,0.45,0.0221,8,0.4378,0.0443,0.0859,0.5497,0.0653,0.1067,0.1366,0.1308,0.143,0.0102
60,1.0081,0.47,0.0221,8,0.47,0.048,0.0939,0.53,0.0609,0.0996,0.1366,0.1308,0.143,0.0102
60,1.0139,0.49,0.0221,8,0.49,0.0507,0.0997,0.51,0.0579,0.0946,0.1366,0.1308,0.143,0.0102
60,1.0203,0.51,0.0221,8,0.51,0.0539,0.1061,0.49,0.0547,0.0893,0.1366,0.1308,0.143,0.0102
60,1.0266,0.53,0.0221,8,0.53,0.0572,0.1123,0.47,0.0517,0.0844,0.1366,0.1308,0.143,0.0102
60,1.0332,0.55,0.0221,8,0.55,0.0607,0.1188,0.45,0.0488,0.0795,0.1366,0.1308,0.143,0.0102
60,1.039,0.57,0.0221,8,0.57,0.0639,0.1246,0.43,0.0462,0.0753,0.1366,0.1308,0.143,0.0102
60,1.0454,0.59,0.0221,8,0.59,0.0676,0.131,0.4099,0.0435,0.0708,0.1366,0.1308,0.143,0.0102
60,1.0529,0.61,0.0221,8,0.61,0.0721,0.1384,0.39,0.0406,0.0659,0.1366,0.1308,0.143,0.0102
60,1.0598,0.63,0.0221,8,0.63,0.0763,0.1452,0.37,0.038,0.0617,0.1366,0.1308,0.143,0.0102
60,1.0663,0.65,0.0221,8,0.65,0.0805,0.1517,0.35,0.0356,0.0578,0.1366,0.1308,0.143,0.0102
60,1.0746,0.67,0.0221,8,0.67,0.0859,0.1599,0.3299,0.0328,0.0532,0.1366,0.1308,0.143,0.0102
60,1.0823,0.69,0.0221,8,0.69,0.091,0.1676,0.31,0.0304,0.0492,0.1366,0.1308,0.143,0.0102
60,1.0899,0.71,0.0221,8,0.71,0.0963,0.1751,0.29,0.0281,0.0455,0.1366,0.1308,0.143,0.0102
60,1.0968,0.73,0.0221,8,0.7299,0.1012,0.1819,0.27,0.0262,0.0424,0.1366,0.1308,0.143,0.0102
60,1.1045,0.75,0.0221,8,0.75,0.1069,0.1896,0.25,0.0242,0.0391,0.1366,0.1308,0.143,0.0102
60,1.1129,0.77,0.0221,8,0.77,0.1132,0.1979,0.23,0.0222,0.0358,0.1366,0.1308,0.143,0.0102
60,1.1224,0.79,0.0221,8,0.79,0.1206,0.2074,0.21,0.0202,0.0323,0.1366,0.1308,0.143,0.0102
60,1.133,0.81,0.0221,8,0.8099,0.129,0.2179,0.19,0.0181,0.0289,0.1366,0.1308,0.143,0.0102
60,1.1444,0.83,0.0221,8,0.83,0.1383,0.2291,0.17,0.016,0.0256,0.1366,0.1308,0.143,0.0102
60,1.1569,0.85,0.0221,8,0.85,0.1486,0.2415,0.15,0.0141,0.0224,0.1366,0.1308,0.143,0.0102
60,1.1703,0.87,0.0221,8,0.8699,0.1601,0.2548,0.13,0.0122,0.0194,0.1366,0.1308,0.143,0.0102
60,1.1853,0.89,0.0221,8,0.89,0.1732,0.2697,0.11,0.0104,0.0165,0.1366,0.1308,0.143,0.0102
60,1.2051,0.91,0.0221,8,0.9099,0.1909,0.2894,0.09,0.0085,0.0134,0.1366,0.1308,0.143,0.0102
60,1.227,0.93,0.0221,8,0.93,0.2109,0.3111,0.07,0.0067,0.0106,0.1366,0.1308,0.143,0.0102
60,1.2565,0.95,0.0221,8,0.9499,0.2384,0.3403,0.05,0.005,0.0078,0.1366,0.1308,0.143,0.0102
60,1.3051,0.97,0.0221,8,0.9699,0.2848,0.3885,0.03,0.0032,0.0049,0.1366,0.1308,0.143,0.0102
60,1.4185,0.99,0.0221,8,0.99,0.3953,0.501,0.01,0.0012,0.0018,0.1366,0.1308,0.143,0.0102
60,0.6248,0.01,0.0268,9,0.01,0.001,0.0017,0.99,0.4012,0.4981,0.1554,0.148,0.1635,0.0131
60,0.7339,0.03,0.0268,9,0.03,0.003,0.0052,0.9699,0.295,0.39,0.1554,0.148,0.1635,0.0131
60,0.774,0.05,0.0268,9,0.05,0.0046,0.008,0.9499,0.2567,0.3502,0.1554,0.148,0.1635,0.0131
60,0.8045,0.07,0.0268,9,0.07,0.0064,0.0113,0.9299,0.2283,0.32,0.1554,0.148,0.1635,0.0131
60,0.8262,0.09,0.0268,9,0.09,0.0081,0.0145,0.91,0.2085,0.2985,0.1554,0.148,0.1635,0.0131
60,0.8438,0.11,0.0268,9,0.11,0.0098,0.0177,0.89,0.1928,0.2811,0.1554,0.148,0.1635,0.0131
60,0.8592,0.13,0.0268,9,0.13,0.0116,0.0211,0.87,0.1793,0.2658,0.1554,0.148,0.1635,0.0131
60,0.8747,0.15,0.0268,9,0.15,0.0138,0.0253,0.8499,0.1661,0.2504,0.1554,0.148,0.1635,0.0131
60,0.8866,0.17,0.0268,9,0.17,0.0157,0.0289,0.83,0.1562,0.2386,0.1554,0.148,0.1635,0.0131
60,0.8967,0.19,0.0268,9,0.19,0.0175,0.0324,0.81,0.148,0.2286,0.1554,0.148,0.1635,0.0131
60,0.9077,0.21,0.0268,9,0.21,0.0196,0.0366,0.79,0.1392,0.2177,0.1554,0.148,0.1635,0.0131
60,0.9175,0.23,0.0268,9,0.23,0.0218,0.0407,0.7699,0.1317,0.208,0.1554,0.148,0.1635,0.0131
60,0.9269,0.25,0.0268,9,0.25,0.024,0.0452,0.75,0.1245,0.1986,0.1554,0.148,0.1635,0.0131
60,0.935,0.27,0.0268,9,0.27,0.0261,0.0493,0.73,0.1186,0.1906,0.1554,0.148,0.1635,0.0131
60,0.943,0.29,0.0268,9,0.29,0.0283,0.0537,0.71,0.1129,0.1827,0.1554,0.148,0.1635,0.0131
60,0.9501,0.31,0.0268,9,0.31,0.0304,0.0579,0.69,0.108,0.1756,0.1554,0.148,0.1635,0.0131
60,0.9578,0.33,0.0268,9,0.33,0.0329,0.0627,0.67,0.1028,0.1681,0.1554,0.148,0.1635,0.0131
60,0.966,0.35,0.0268,9,0.35,0.0356,0.0683,0.65,0.0974,0.1599,0.1554,0.148,0.1635,0.0131
60,0.9737,0.37,0.0268,9,0.37,0.0384,0.0738,0.63,0.0926,0.1523,0.1554,0.148,0.1635,0.0131
60,0.9818,0.39,0.0268,9,0.39,0.0415,0.08,0.61,0.0875,0.1442,0.1554,0.148,0.1635,0.0131
60,0.9897,0.41,0.0268,9,0.4099,0.0446,0.0864,0.59,0.0829,0.1364,0.1554,0.148,0.1635,0.0131
60,0.9983,0.43,0.0268,9,0.4299,0.0482,0.0937,0.57,0.0779,0.1279,0.1554,0.148,0.1635,0.0131
60,1.0029,0.45,0.0268,9,0.45,0.0502,0.098,0.55,0.0754,0.1237,0.1554,0.148,0.1635,0.0131
60,1.0114,0.47,0.0268,9,0.47,0.054,0.1064,0.53,0.0708,0.1162,0.1554,0.148,0.1635,0.0131
60,1.0192,0.49,0.0268,9,0.49,0.0578,0.1142,0.51,0.0668,0.1096,0.1554,0.148,0.1635,0.0131
60,1.0262,0.51,0.0268,9,0.51,0.0613,0.1212,0.4899,0.0633,0.1039,0.1554,0.148,0.1635,0.0131
60,1.0332,0.53,0.0268,9,0.53,0.0648,0.1281,0.47,0.06,0.0985,0.1554,0.148,0.1635,0.0131
60,1.0406,0.55,0.0268,9,0.55,0.0688,0.1354,0.4499,0.0566,0.093,0.1554,0.148,0.1635,0.0131
60,1.0475,0.57,0.0268,9,0.57,0.0727,0.1423,0.43,0.0536,0.088,0.1554,0.148,0.1635,0.0131
60,1.0546,0.59,0.0268,9,0.59,0.0767,0.1493,0.41,0.0506,0.0832,0.1554,0.148,0.1635,0.0131
60,1.0619,0.61,0.0268,9,0.61,0.0811,0.1565,0.39,0.0477,0.0784,0.1554,0.148,0.1635,0.0131
60,1.0686,0.63,0.0268,9,0.63,0.0852,0.1632,0.37,0.0452,0.0742,0.1554,0.148,0.1635,0.0131
60,1.0769,0.65,0.0268,9,0.65,0.0905,0.1714,0.35,0.0422,0.0692,0.1554,0.148,0.1635,0.0131
60,1.0859,0.67,0.0268,9,0.67,0.0964,0.1804,0.33,0.0392,0.0642,0.1554,0.148,0.1635,0.0131
60,1.0943,0.69,0.0268,9,0.69,0.102,0.1887,0.31,0.0365,0.0598,0.1554,0.148,0.1635,0.0131
60,1.1019,0.71,0.0268,9,0.71,0.1073,0.1963,0.29,0.0343,0.056,0.1554,0.148,0.1635,0.0131
60,1.1104,0.73,0.0268,9,0.73,0.1134,0.2047,0.27,0.0319,0.0521,0.1554,0.148,0.1635,0.0131
60,1.12,0.75,0.0268,9,0.75,0.1204,0.2142,0.2494,0.0294,0.048,0.1554,0.148,0.1635,0.0131
60,1.1298,0.77,0.0268,9,0.7699,0.1278,0.2239,0.23,0.0271,0.044,0.1554,0.148,0.1635,0.0131
60,1.1417,0.79,0.0268,9,0.7899,0.137,0.2357,0.21,0.0245,0.0397,0.1554,0.148,0.1635,0.0131
60,1.153,0.81,0.0268,9,0.81,0.146,0.2469,0.19,0.0223,0.036,0.1554,0.148,0.1635,0.0131
60,1.1659,0.83,0.0268,9,0.83,0.1565,0.2597,0.17,0.02,0.0322,0.1554,0.148,0.1635,0.0131
60,1.1805,0.85,0.0268,9,0.8499,0.1687,0.2742,0.15,0.0177,0.0284,0.1554,0.148,0.1635,0.0131
60,1.1978,0.87,0.0268,9,0.8699,0.1834,0.2913,0.13,0.0153,0.0245,0.1554,0.148,0.1635,0.0131
60,1.2168,0.89,0.0268,9,0.89,0.2,0.3102,0.11,0.013,0.0208,0.1554,0.148,0.1635,0.0131
60,1.24,0.91,0.0268,9,0.9099,0.2207,0.3332,0.09,0.0107,0.0171,0.1554,0.148,0.1635,0.0131
60,1.2671,0.93,0.0268,9,0.9299,0.2454,0.36,0.07,0.0086,0.0137,0.1554,0.148,0.1635,0.0131
60,1.3008,0.95,0.0268,9,0.9499,0.2769,0.3935,0.05,0.0066,0.0106,0.1554,0.148,0.1635,0.0131
60,1.351,0.97,0.0268,9,0.97,0.3247,0.4432,0.03,0.0047,0.0074,0.1554,0.148,0.1635,0.0131
60,1.4726,0.99,0.0268,9,0.99,0.4431,0.5639,0.01,0.0024,0.0037,0.1554,0.148,0.1635,0.0131
60,0.5,0.01,0.0389,10,0.0099,0.0015,0.0025,0.9898,0.5386,0.6754,0.212,0.2038,0.2208,0.0119
60,0.6372,0.03,0.0389,10,0.03,0.004,0.0073,0.9699,0.4048,0.5396,0.212,0.2038,0.2208,0.0119
60,0.7019,0.05,0.0389,10,0.05,0.0065,0.0123,0.95,0.3431,0.4754,0.212,0.2038,0.2208,0.0119
60,0.7419,0.07,0.0389,10,0.07,0.0088,0.0171,0.9299,0.3057,0.4358,0.212,0.2038,0.2208,0.0119
60,0.7718,0.09,0.0389,10,0.0899,0.0112,0.0218,0.9099,0.2784,0.4062,0.212,0.2038,0.2208,0.0119
60,0.7963,0.11,0.0389,10,0.11,0.0136,0.0267,0.89,0.2565,0.3819,0.212,0.2038,0.2208,0.0119
60,0.8163,0.13,0.0389,10,0.13,0.016,0.0315,0.87,0.2391,0.3621,0.212,0.2038,0.2208,0.0119
60,0.8333,0.15,0.0389,10,0.15,0.0183,0.0363,0.8499,0.2245,0.3452,0.212,0.2038,0.2208,0.0119
60,0.8499,0.17,0.0389,10,0.1699,0.0209,0.0415,0.8299,0.2107,0.3288,0.212,0.2038,0.2208,0.0119
60,0.8641,0.19,0.0389,10,0.19,0.0235,0.0466,0.8099,0.1991,0.3148,0.212,0.2038,0.2208,0.0119
60,0.8776,0.21,0.0389,10,0.21,0.0262,0.052,0.79,0.1883,0.3013,0.212,0.2038,0.2208,0.0119
60,0.89,0.23,0.0389,10,0.23,0.0288,0.0574,0.7699,0.1788,0.2891,0.212,0.2038,0.2208,0.0119
60,0.9034,0.25,0.0389,10,0.25,0.032,0.0639,0.7499,0.1687,0.2759,0.212,0.2038,0.2208,0.0119
60,0.9145,0.27,0.0389,10,0.27,0.0349,0.0698,0.7299,0.1605,0.2648,0.212,0.2038,0.2208,0.0119
60,0.9254,0.29,0.0389,10,0.29,0.0379,0.0759,0.71,0.1527,0.254,0.212,0.2038,0.2208,0.0119
60,0.9361,0.31,0.0389,10,0.31,0.0411,0.0825,0.6899,0.1453,0.2434,0.212,0.2038,0.2208,0.0119
60,0.9452,0.33,0.0389,10,0.33,0.044,0.0884,0.6699,0.1391,0.2344,0.212,0.2038,0.2208,0.0119
60,0.9554,0.35,0.0389,10,0.35,0.0475,0.0955,0.6499,0.1324,0.2243,0.212,0.2038,0.2208,0.0119
60,0.965,0.37,0.0389,10,0.37,0.0509,0.1025,0.63,0.1263,0.2148,0.212,0.2038,0.2208,0.0119
60,0.9743,0.39,0.0389,10,0.39,0.0544,0.1096,0.61,0.1206,0.2056,0.212,0.2038,0.2208,0.0119
60,0.9844,0.41,0.0389,10,0.4099,0.0584,0.1177,0.5898,0.1146,0.1956,0.212,0.2038,0.2208,0.0119
60,0.9955,0.43,0.0389,10,0.43,0.063,0.127,0.5699,0.1082,0.1846,0.212,0.2038,0.2208,0.0119
60,1.0,0.45,0.0389,10,0.4359,0.065,0.1309,0.54,0.1057,0.1801,0.212,0.2038,0.2208,0.0119
60,1.0065,0.47,0.0389,10,0.47,0.0679,0.1373,0.53,0.1022,0.1745,0.212,0.2038,0.2208,0.0119
60,1.0171,0.49,0.0389,10,0.49,0.073,0.1479,0.51,0.0967,0.1654,0.212,0.2038,0.2208,0.0119
60,1.0262,0.51,0.0389,10,0.51,0.0775,0.1569,0.49,0.0922,0.1579,0.212,0.2038,0.2208,0.0119
60,1.0363,0.53,0.0389,10,0.5299,0.0827,0.1669,0.4699,0.0874,0.1499,0.212,0.2038,0.2208,0.0119
60,1.0454,0.55,0.0389,10,0.55,0.0876,0.176,0.45,0.0832,0.143,0.212,0.2038,0.2208,0.0119
60,1.0556,0.57,0.0389,10,0.57,0.0932,0.1861,0.43,0.0788,0.1356,0.212,0.2038,0.2208,0.0119
60,1.0645,0.59,0.0389,10,0.5899,0.0984,0.1949,0.4097,0.0751,0.1293,0.212,0.2038,0.2208,0.0119
60,1.0744,0.61,0.0389,10,0.61,0.1043,0.2047,0.39,0.0712,0.1227,0.212,0.2038,0.2208,0.0119
60,1.084,0.63,0.0389,10,0.63,0.1102,0.2143,0.37,0.0675,0.1166,0.212,0.2038,0.2208,0.0119
60,1.094,0.65,0.0389,10,0.6499,0.1166,0.2242,0.3499,0.0639,0.1105,0.212,0.2038,0.2208,0.0119
60,1.1057,0.67,0.0389,10,0.6699,0.1242,0.2358,0.33,0.06,0.1039,0.212,0.2038,0.2208,0.0119
60,1.1186,0.69,0.0389,10,0.6899,0.1329,0.2486,0.31,0.0559,0.097,0.212,0.2038,0.2208,0.0119
60,1.129,0.71,0.0389,10,0.71,0.1402,0.259,0.29,0.0528,0.0917,0.212,0.2038,0.2208,0.0119
60,1.1412,0.73,0.0389,10,0.73,0.1489,0.2711,0.27,0.0494,0.0859,0.212,0.2038,0.2208,0.0119
60,1.1538,0.75,0.0389,10,0.7496,0.1582,0.2836,0.2498,0.0462,0.0804,0.212,0.2038,0.2208,0.0119
60,1.1682,0.77,0.0389,10,0.77,0.169,0.2979,0.23,0.0427,0.0745,0.212,0.2038,0.2208,0.0119
60,1.1846,0.79,0.0389,10,0.79,0.1817,0.3142,0.21,0.0392,0.0684,0.212,0.2038,0.2208,0.0119
60,1.2004,0.81,0.0389,10,0.81,0.1942,0.3298,0.19,0.036,0.0631,0.212,0.2038,0.2208,0.0119
60,1.2188,0.83,0.0389,10,0.83,0.2092,0.3481,0.17,0.0327,0.0574,0.212,0.2038,0.2208,0.0119
60,1.2418,0.85,0.0389,10,0.85,0.2284,0.3709,0.15,0.0291,0.0512,0.212,0.2038,0.2208,0.0119
60,1.2677,0.87,0.0389,10,0.8699,0.2505,0.3966,0.13,0.0255,0.0451,0.212,0.2038,0.2208,0.0119
60,1.2941,0.89,0.0389,10,0.8899,0.2736,0.4229,0.1099,0.0224,0.0398,0.212,0.2038,0.2208,0.0119
60,1.329,0.91,0.0389,10,0.9099,0.3048,0.4575,0.09,0.0189,0.0339,0.212,0.2038,0.2208,0.0119
60,1.374,0.93,0.0389,10,0.93,0.3459,0.5022,0.07,0.0154,0.0278,0.212,0.2038,0.2208,0.0119
60,1.4302,0.95,0.0389,10,0.95,0.3984,0.5579,0.05,0.0121,0.0219,0.212,0.2038,0.2208,0.0119
60,1.5346,0.97,0.0389,10,0.9699,0.498,0.6616,0.03,0.008,0.0148,0.212,0.2038,0.2208,0.0119
60,1.7984,0.99,0.0389,10,0.9899,0.7551,0.9235,0.0099,0.0033,0.0069,0.212,0.2038,0.2208,0.0119
91,0.7797,0.01,0.0087,1,0.01,0.0009,0.0021,0.99,0.2374,0.2894,0.0852,0.0816,0.0891,0.0141
91,0.849,0.03,0.0087,1,0.03,0.002,0.0045,0.9699,0.17,0.2209,0.0852,0.0816,0.0891,0.0141
91,0.8758,0.05,0.0087,1,0.05,0.0031,0.0066,0.95,0.1445,0.1943,0.0852,0.0816,0.0891,0.0141
91,0.8933,0.07,0.0087,1,0.07,0.0041,0.0086,0.9299,0.1282,0.177,0.0852,0.0816,0.0891,0.0141
91,0.9064,0.09,0.0087,1,0.09,0.0051,0.0107,0.9099,0.1162,0.164,0.0852,0.0816,0.0891,0.0141
91,0.9176,0.11,0.0087,1,0.11,0.0062,0.0129,0.8899,0.1063,0.153,0.0852,0.0816,0.0891,0.0141
91,0.9263,0.13,0.0087,1,0.13,0.0073,0.0149,0.8699,0.0987,0.1443,0.0852,0.0816,0.0891,0.0141
91,0.9346,0.15,0.0087,1,0.15,0.0084,0.0173,0.8499,0.0916,0.1361,0.0852,0.0816,0.0891,0.0141
91,0.9423,0.17,0.0087,1,0.1699,0.0096,0.0198,0.8299,0.0852,0.1285,0.0852,0.0816,0.0891,0.0141
91,0.9486,0.19,0.0087,1,0.19,0.0108,0.0221,0.8099,0.0801,0.1222,0.0852,0.0816,0.0891,0.0141
91,0.9543,0.21,0.0087,1,0.21,0.0119,0.0244,0.79,0.0755,0.1166,0.0852,0.0816,0.0891,0.0141
91,0.9598,0.23,0.0087,1,0.23,0.0131,0.0269,0.77,0.0713,0.1111,0.0852,0.0816,0.0891,0.0141
91,0.9652,0.25,0.0087,1,0.25,0.0144,0.0296,0.7499,0.0672,0.1058,0.0852,0.0816,0.0891,0.0141
91,0.9704,0.27,0.0087,1,0.27,0.0157,0.0323,0.73,0.0634,0.1007,0.0852,0.0816,0.0891,0.0141
91,0.9757,0.29,0.0087,1,0.29,0.0172,0.0354,0.71,0.0596,0.0954,0.0852,0.0816,0.0891,0.0141
91,0.9803,0.31,0.0087,1,0.3099,0.0185,0.0383,0.6899,0.0565,0.0909,0.0852,0.0816,0.0891,0.0141
91,0.9842,0.33,0.0087,1,0.33,0.0198,0.041,0.67,0.0538,0.087,0.0852,0.0816,0.0891,0.0141
91,0.9884,0.35,0.0087,1,0.3499,0.0212,0.0441,0.6499,0.0511,0.0828,0.0852,0.0816,0.0891,0.0141
91,0.9927,0.37,0.0087,1,0.37,0.0227,0.0474,0.6299,0.0483,0.0785,0.0852,0.0816,0.0891,0.0141
91,0.9968,0.39,0.0087,1,0.39,0.0243,0.0508,0.6099,0.0458,0.0745,0.0852,0.0816,0.0891,0.0141
91,1.0,0.41,0.0087,1,0.4001,0.0255,0.0536,0.588,0.0439,0.0713,0.0852,0.0816,0.0891,0.0141
91,1.005,0.43,0.0087,1,0.43,0.0276,0.0585,0.5699,0.0411,0.0667,0.0852,0.0816,0.0891,0.0141
91,1.0089,0.45,0.0087,1,0.4499,0.0293,0.0624,0.55,0.0389,0.0632,0.0852,0.0816,0.0891,0.0141
91,1.0127,0.47,0.0087,1,0.4698,0.031,0.0661,0.53,0.0369,0.06,0.0852,0.0816,0.0891,0.0141
91,1.0164,0.49,0.0087,1,0.49,0.0328,0.0698,0.5099,0.035,0.0569,0.0852,0.0816,0.0891,0.0141
91,1.0203,0.51,0.0087,1,0.51,0.0347,0.0737,0.49,0.033,0.0537,0.0852,0.0816,0.0891,0.0141
91,1.0245,0.53,0.0087,1,0.5299,0.0369,0.0778,0.47,0.031,0.0505,0.0852,0.0816,0.0891,0.0141
91,1.0286,0.55,0.0087,1,0.5499,0.0391,0.0819,0.4499,0.0292,0.0475,0.0852,0.0816,0.0891,0.0141
91,1.0327,0.57,0.0087,1,0.57,0.0413,0.0859,0.43,0.0274,0.0446,0.0852,0.0816,0.0891,0.0141
91,1.0367,0.59,0.0087,1,0.59,0.0437,0.0899,0.41,0.0257,0.0419,0.0852,0.0816,0.0891,0.0141
91,1.0406,0.61,0.0087,1,0.61,0.046,0.0938,0.39,0.0241,0.0394,0.0852,0.0816,0.0891,0.0141
91,1.0451,0.63,0.0087,1,0.63,0.0487,0.0982,0.3699,0.0225,0.0367,0.0852,0.0816,0.0891,0.0141
91,1.0495,0.65,0.0087,1,0.6499,0.0515,0.1026,0.35,0.0209,0.0341,0.0852,0.0816,0.0891,0.0141
91,1.0536,0.67,0.0087,1,0.67,0.0542,0.1067,0.33,0.0195,0.0318,0.0852,0.0816,0.0891,0.0141
91,1.0589,0.69,0.0087,1,0.6899,0.0578,0.1119,0.31,0.0178,0.0291,0.0852,0.0816,0.0891,0.0141
91,1.064,0.71,0.0087,1,0.7099,0.0613,0.1169,0.29,0.0163,0.0267,0.0852,0.0816,0.0891,0.0141
91,1.0689,0.73,0.0087,1,0.73,0.0648,0.1218,0.27,0.0149,0.0245,0.0852,0.0816,0.0891,0.0141
91,1.0738,0.75,0.0087,1,0.75,0.0684,0.1266,0.25,0.0137,0.0225,0.0852,0.0816,0.0891,0.0141
91,1.0786,0.77,0.0087,1,0.7699,0.072,0.1314,0.2299,0.0125,0.0207,0.0852,0.0816,0.0891,0.0141
91,1.0842,0.79,0.0087,1,0.79,0.0763,0.137,0.21,0.0113,0.0187,0.0852,0.0816,0.0891,0.0141
91,1.0904,0.81,0.0087,1,0.81,0.0812,0.1431,0.1899,0.0101,0.0167,0.0852,0.0816,0.0891,0.0141
91,1.0973,0.83,0.0087,1,0.8299,0.0869,0.15,0.17,0.0089,0.0147,0.0852,0.0816,0.0891,0.0141
91,1.1037,0.85,0.0087,1,0.85,0.0922,0.1563,0.15,0.0079,0.0131,0.0852,0.0816,0.0891,0.0141
91,1.1115,0.87,0.0087,1,0.8699,0.0988,0.164,0.13,0.0068,0.0113,0.0852,0.0816,0.0891,0.0141
91,1.1205,0.89,0.0087,1,0.89,0.1066,0.1729,0.11,0.0057,0.0095,0.0852,0.0816,0.0891,0.0141
91,1.1309,0.91,0.0087,1,0.91,0.116,0.1832,0.09,0.0047,0.0078,0.0852,0.0816,0.0891,0.0141
91,1.1441,0.93,0.0087,1,0.93,0.128,0.1963,0.07,0.0036,0.0061,0.0852,0.0816,0.0891,0.0141
91,1.1596,0.95,0.0087,1,0.9499,0.1424,0.2117,0.05,0.0027,0.0046,0.0852,0.0816,0.0891,0.0141
91,1.184,0.97,0.0087,1,0.97,0.1656,0.2358,0.03,0.0018,0.003,0.0852,0.0816,0.0891,0.0141
91,1.2462,0.99,0.0087,1,0.9899,0.2261,0.2974,0.01,0.0007,0.0011,0.0852,0.0816,0.0891,0.0141
91,0.7457,0.01,0.0109,2,0.01,0.0007,0.0017,0.9899,0.2733,0.3344,0.0982,0.0933,0.1035,0.0154
91,0.8235,0.03,0.0109,2,0.03,0.0021,0.0042,0.9699,0.1978,0.2574,0.0982,0.0933,0.1035,0.0154
91,0.8557,0.05,0.0109,2,0.0499,0.0034,0.0066,0.95,0.1671,0.2255,0.0982,0.0933,0.1035,0.0154
91,0.875,0.07,0.0109,2,0.07,0.0045,0.0088,0.9299,0.1492,0.2065,0.0982,0.0933,0.1035,0.0154
91,0.8908,0.09,0.0109,2,0.09,0.0057,0.0112,0.9099,0.1348,0.1909,0.0982,0.0933,0.1035,0.0154
91,0.9029,0.11,0.0109,2,0.11,0.0069,0.0136,0.89,0.124,0.1788,0.0982,0.0933,0.1035,0.0154
91,0.9137,0.13,0.0109,2,0.13,0.0082,0.0161,0.87,0.1146,0.1682,0.0982,0.0933,0.1035,0.0154
91,0.9235,0.15,0.0109,2,0.15,0.0096,0.0189,0.8499,0.1063,0.1585,0.0982,0.0933,0.1035,0.0154
91,0.9323,0.17,0.0109,2,0.17,0.0109,0.0217,0.83,0.0989,0.1498,0.0982,0.0933,0.1035,0.0154
91,0.9403,0.19,0.0109,2,0.1899,0.0124,0.0247,0.8099,0.0924,0.1419,0.0982,0.0933,0.1035,0.0154
91,0.9472,0.21,0.0109,2,0.21,0.0137,0.0277,0.7899,0.087,0.135,0.0982,0.0933,0.1035,0.0154
91,0.9541,0.23,0.0109,2,0.23,0.0152,0.0308,0.7699,0.0817,0.1283,0.0982,0.0933,0.1035,0.0154
91,0.9605,0.25,0.0109,2,0.25,0.0168,0.0342,0.75,0.0768,0.1218,0.0982,0.0933,0.1035,0.0154
91,0.9657,0.27,0.0109,2,0.27,0.0181,0.037,0.7299,0.073,0.1167,0.0982,0.0933,0.1035,0.0154
91,0.9713,0.29,0.0109,2,0.29,0.0196,0.0404,0.71,0.069,0.1112,0.0982,0.0933,0.1035,0.0154
91,0.9759,0.31,0.0109,2,0.3099,0.021,0.0433,0.6899,0.0658,0.1066,0.0982,0.0933,0.1035,0.0154
91,0.9813,0.33,0.0109,2,0.33,0.0227,0.047,0.67,0.0622,0.1013,0.0982,0.0933,0.1035,0.0154
91,0.9861,0.35,0.0109,2,0.35,0.0243,0.0505,0.6499,0.0591,0.0966,0.0982,0.0933,0.1035,0.0154
91,0.9913,0.37,0.0109,2,0.37,0.0262,0.0546,0.63,0.0558,0.0914,0.0982,0.0933,0.1035,0.0154
91,0.9962,0.39,0.0109,2,0.3899,0.028,0.0587,0.61,0.0528,0.0865,0.0982,0.0933,0.1035,0.0154
91,1.0,0.41,0.0109,2,0.4014,0.0295,0.0621,0.5881,0.0505,0.0828,0.0982,0.0933,0.1035,0.0154
91,1.0051,0.43,0.0109,2,0.43,0.0316,0.0671,0.5699,0.0476,0.0781,0.0982,0.0933,0.1035,0.0154
91,1.0098,0.45,0.0109,2,0.45,0.0337,0.0717,0.5499,0.045,0.0739,0.0982,0.0933,0.1035,0.0154
91,1.0145,0.47,0.0109,2,0.47,0.0358,0.0764,0.5299,0.0425,0.0698,0.0982,0.0933,0.1035,0.0154
91,1.0194,0.49,0.0109,2,0.49,0.0381,0.0812,0.5099,0.04,0.0658,0.0982,0.0933,0.1035,0.0154
91,1.0239,0.51,0.0109,2,0.51,0.0404,0.0858,0.49,0.0377,0.0622,0.0982,0.0933,0.1035,0.0154
91,1.0284,0.53,0.0109,2,0.5299,0.0427,0.0902,0.47,0.0356,0.0587,0.0982,0.0933,0.1035,0.0154
91,1.0333,0.55,0.0109,2,0.5499,0.0453,0.095,0.45,0.0333,0.0551,0.0982,0.0933,0.1035,0.0154
91,1.0374,0.57,0.0109,2,0.5698,0.0476,0.0991,0.4299,0.0316,0.0523,0.0982,0.0933,0.1035,0.0154
91,1.042,0.59,0.0109,2,0.59,0.0502,0.1036,0.41,0.0297,0.0491,0.0982,0.0933,0.1035,0.0154
91,1.0467,0.61,0.0109,2,0.61,0.0531,0.1083,0.39,0.0278,0.046,0.0982,0.0933,0.1035,0.0154
